KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	3807	   0	   0	   0	   0	 191	   0	   0	   0	   0
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	11965	    0	    0	    0	    0
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	    0	    0	    0	    0	    0	    0	    0	57310	    0	    0	  308	    0	16392	    0	    0	    0	    0	    0	    0	    0
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1090	   0	   0	   0	   0	 118	   0	   0	   0	   0
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	 0	 0	 0	 0	 0	 0	 0	21	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	34	 0	 0	 0	 0	 0	 0	 0
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	   0	   0	   0	   0	   0	 107	   0	1124	   0	   0	   0	   0	   0	   0	   0	 704	   0	   0	   0	   0
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	    0	    0	    0	    0	    3	12435	    0	    0	    0	    0	 1214	    0	    0	    0	    0	  965	    0	    0	    0	    0
